사번,부서,년월,기본근무시간_가정값,초과근무시간,원본이상근태플래그
E0167,개발,2026-01,160,15.4,False
E0172,개발,2026-01,160,19.1,False
E0173,개발,2026-01,160,15.5,False
E0188,개발,2026-01,160,12.9,False
E0203,개발,2026-01,160,13.0,False
E0215,개발,2026-01,160,12.4,False
E0221,개발,2026-01,160,16.2,False
E0226,개발,2026-01,160,13.0,False
E0228,개발,2026-01,160,14.0,False
E0253,개발,2026-01,160,15.8,False
E0258,개발,2026-01,160,12.7,False
E0261,개발,2026-01,160,13.6,False
E0268,개발,2026-01,160,10.3,False
E0274,개발,2026-01,160,11.9,False
E0279,개발,2026-01,160,13.0,False
E0295,개발,2026-01,160,15.1,False
E0296,개발,2026-01,160,16.7,False
E0010,생산,2026-01,160,15.3,False
E0023,생산,2026-01,160,16.0,False
E0024,생산,2026-01,160,15.8,False
E0025,생산,2026-01,160,17.9,False
E0032,생산,2026-01,160,17.5,False
E0033,생산,2026-01,160,16.0,False
E0038,생산,2026-01,160,13.1,False
E0041,생산,2026-01,160,17.5,False
E0047,생산,2026-01,160,16.3,False
E0049,생산,2026-01,160,18.2,False
E0056,생산,2026-01,160,15.3,False
E0058,생산,2026-01,160,19.9,False
E0064,생산,2026-01,160,14.6,False
E0068,생산,2026-01,160,19.1,False
E0081,생산,2026-01,160,15.7,False
E0087,생산,2026-01,160,14.2,False
E0088,생산,2026-01,160,12.8,False
E0095,생산,2026-01,160,15.0,False
E0115,생산,2026-01,160,18.7,False
E0120,생산,2026-01,160,17.3,False
E0132,생산,2026-01,160,17.0,False
E0148,생산,2026-01,160,9.9,False
E0151,생산,2026-01,160,17.0,False
E0163,생산,2026-01,160,16.7,False
E0165,생산,2026-01,160,14.1,False
E0198,생산,2026-01,160,13.9,False
E0212,생산,2026-01,160,15.4,False
E0231,생산,2026-01,160,19.4,False
E0245,생산,2026-01,160,13.0,False
E0248,생산,2026-01,160,14.4,False
E0285,생산,2026-01,160,18.5,False
E0292,생산,2026-01,160,14.4,False
E0293,생산,2026-01,160,14.6,False
E0294,생산,2026-01,160,15.6,False
E0002,영업,2026-01,160,14.2,False
E0006,영업,2026-01,160,18.0,False
E0007,영업,2026-01,160,14.2,False
E0009,영업,2026-01,160,19.7,False
E0011,영업,2026-01,160,17.4,False
E0018,영업,2026-01,160,23.4,False
E0020,영업,2026-01,160,18.1,False
E0031,영업,2026-01,160,21.0,False
E0048,영업,2026-01,160,14.0,False
E0052,영업,2026-01,160,17.1,False
E0076,영업,2026-01,160,18.2,False
E0078,영업,2026-01,160,22.0,False
E0098,영업,2026-01,160,13.0,False
E0104,영업,2026-01,160,20.0,False
E0107,영업,2026-01,160,18.9,False
E0116,영업,2026-01,160,21.4,False
E0125,영업,2026-01,160,19.3,False
E0138,영업,2026-01,160,17.5,False
E0139,영업,2026-01,160,16.0,False
E0143,영업,2026-01,160,14.1,False
E0168,영업,2026-01,160,17.9,False
E0175,영업,2026-01,160,16.9,False
E0176,영업,2026-01,160,22.7,False
E0177,영업,2026-01,160,15.8,False
E0178,영업,2026-01,160,18.2,False
E0184,영업,2026-01,160,13.3,False
E0185,영업,2026-01,160,16.4,False
E0195,영업,2026-01,160,18.1,False
E0196,영업,2026-01,160,19.6,False
E0199,영업,2026-01,160,21.2,False
E0202,영업,2026-01,160,17.3,False
E0205,영업,2026-01,160,14.5,False
E0207,영업,2026-01,160,18.6,False
E0223,영업,2026-01,160,18.8,False
E0227,영업,2026-01,160,18.7,False
E0236,영업,2026-01,160,15.6,False
E0249,영업,2026-01,160,20.4,False
E0252,영업,2026-01,160,17.6,False
E0256,영업,2026-01,160,19.2,False
E0263,영업,2026-01,160,20.7,False
E0265,영업,2026-01,160,19.0,False
E0271,영업,2026-01,160,18.2,False
E0284,영업,2026-01,160,23.0,False
E0290,영업,2026-01,160,18.0,False
E0291,영업,2026-01,160,16.6,False
E0299,영업,2026-01,160,17.7,False
E0001,인사,2026-01,160,17.5,False
E0012,인사,2026-01,160,14.6,False
E0013,인사,2026-01,160,15.4,False
E0037,인사,2026-01,160,16.9,False
E0043,인사,2026-01,160,13.2,False
E0053,인사,2026-01,160,10.6,False
E0061,인사,2026-01,160,15.0,False
E0086,인사,2026-01,160,14.8,False
E0090,인사,2026-01,160,13.0,False
E0097,인사,2026-01,160,16.2,False
E0100,인사,2026-01,160,15.6,False
E0102,인사,2026-01,160,12.2,False
E0109,인사,2026-01,160,15.4,False
E0113,인사,2026-01,160,13.9,False
E0117,인사,2026-01,160,11.1,False
E0119,인사,2026-01,160,15.3,False
E0127,인사,2026-01,160,14.2,False
E0136,인사,2026-01,160,12.7,False
E0145,인사,2026-01,160,15.4,False
E0149,인사,2026-01,160,15.4,False
E0152,인사,2026-01,160,13.1,False
E0159,인사,2026-01,160,15.2,False
E0179,인사,2026-01,160,16.5,False
E0189,인사,2026-01,160,12.8,False
E0192,인사,2026-01,160,15.1,False
E0204,인사,2026-01,160,14.3,False
E0209,인사,2026-01,160,19.2,False
E0220,인사,2026-01,160,10.3,False
E0229,인사,2026-01,160,15.8,False
E0235,인사,2026-01,160,13.7,False
E0240,인사,2026-01,160,14.1,False
E0243,인사,2026-01,160,18.4,False
E0244,인사,2026-01,160,14.3,False
E0247,인사,2026-01,160,19.1,False
E0259,인사,2026-01,160,13.4,False
E0269,인사,2026-01,160,15.1,False
E0270,인사,2026-01,160,13.3,False
E0283,인사,2026-01,160,12.8,False
E0287,인사,2026-01,160,14.5,False
E0297,인사,2026-01,160,13.7,False
E0004,재무,2026-01,160,17.4,False
E0005,재무,2026-01,160,11.5,False
E0016,재무,2026-01,160,21.9,False
E0019,재무,2026-01,160,16.4,False
E0021,재무,2026-01,160,21.3,False
E0028,재무,2026-01,160,14.3,False
E0030,재무,2026-01,160,17.6,False
E0034,재무,2026-01,160,24.9,False
E0044,재무,2026-01,160,14.7,False
E0045,재무,2026-01,160,13.1,False
E0054,재무,2026-01,160,15.5,False
E0055,재무,2026-01,160,18.1,False
E0057,재무,2026-01,160,18.6,False
E0065,재무,2026-01,160,20.1,False
E0070,재무,2026-01,160,16.2,False
E0072,재무,2026-01,160,12.8,False
E0074,재무,2026-01,160,15.8,False
E0075,재무,2026-01,160,20.0,False
E0077,재무,2026-01,160,18.0,False
E0079,재무,2026-01,160,11.9,False
E0080,재무,2026-01,160,16.8,False
E0083,재무,2026-01,160,20.4,False
E0085,재무,2026-01,160,22.2,False
E0089,재무,2026-01,160,18.3,False
E0092,재무,2026-01,160,17.6,False
E0108,재무,2026-01,160,13.7,False
E0123,재무,2026-01,160,14.7,False
E0126,재무,2026-01,160,17.0,False
E0128,재무,2026-01,160,18.1,False
E0135,재무,2026-01,160,18.3,False
E0137,재무,2026-01,160,68.9,True
E0147,재무,2026-01,160,15.6,False
E0153,재무,2026-01,160,14.9,False
E0154,재무,2026-01,160,15.1,False
E0157,재무,2026-01,160,14.2,False
E0158,재무,2026-01,160,15.3,False
E0164,재무,2026-01,160,18.4,False
E0169,재무,2026-01,160,16.2,False
E0174,재무,2026-01,160,16.5,False
E0180,재무,2026-01,160,15.0,False
E0181,재무,2026-01,160,13.9,False
E0191,재무,2026-01,160,19.2,False
E0194,재무,2026-01,160,16.2,False
E0197,재무,2026-01,160,19.0,False
E0216,재무,2026-01,160,16.9,False
E0217,재무,2026-01,160,15.9,False
E0218,재무,2026-01,160,8.1,False
E0225,재무,2026-01,160,19.2,False
E0230,재무,2026-01,160,17.8,False
E0233,재무,2026-01,160,16.8,False
E0234,재무,2026-01,160,17.3,False
E0237,재무,2026-01,160,18.8,False
E0241,재무,2026-01,160,21.6,False
E0257,재무,2026-01,160,14.7,False
E0264,재무,2026-01,160,18.6,False
E0266,재무,2026-01,160,15.2,False
E0273,재무,2026-01,160,19.5,False
E0275,재무,2026-01,160,20.9,False
E0276,재무,2026-01,160,15.9,False
E0277,재무,2026-01,160,13.5,False
E0281,재무,2026-01,160,20.5,False
E0286,재무,2026-01,160,16.6,False
E0008,CS,2026-02,160,17.6,False
E0014,CS,2026-02,160,14.0,False
E0022,CS,2026-02,160,12.9,False
E0026,CS,2026-02,160,16.7,False
E0062,CS,2026-02,160,14.8,False
E0071,CS,2026-02,160,13.4,False
E0073,CS,2026-02,160,14.5,False
E0082,CS,2026-02,160,14.4,False
E0096,CS,2026-02,160,12.2,False
E0099,CS,2026-02,160,13.2,False
E0103,CS,2026-02,160,11.2,False
E0110,CS,2026-02,160,11.8,False
E0112,CS,2026-02,160,14.6,False
E0124,CS,2026-02,160,16.6,False
E0131,CS,2026-02,160,13.6,False
E0134,CS,2026-02,160,16.2,False
E0141,CS,2026-02,160,17.1,False
E0161,CS,2026-02,160,11.5,False
E0170,CS,2026-02,160,15.6,False
E0171,CS,2026-02,160,15.0,False
E0183,CS,2026-02,160,13.8,False
E0186,CS,2026-02,160,14.0,False
E0193,CS,2026-02,160,14.2,False
E0201,CS,2026-02,160,10.9,False
E0206,CS,2026-02,160,13.5,False
E0208,CS,2026-02,160,17.2,False
E0213,CS,2026-02,160,11.7,False
E0214,CS,2026-02,160,13.1,False
E0219,CS,2026-02,160,14.6,False
E0222,CS,2026-02,160,13.8,False
E0224,CS,2026-02,160,17.1,False
E0232,CS,2026-02,160,10.8,False
E0242,CS,2026-02,160,10.0,False
E0246,CS,2026-02,160,12.7,False
E0250,CS,2026-02,160,12.8,False
E0254,CS,2026-02,160,13.2,False
E0260,CS,2026-02,160,15.0,False
E0262,CS,2026-02,160,15.1,False
E0267,CS,2026-02,160,16.8,False
E0272,CS,2026-02,160,11.6,False
E0278,CS,2026-02,160,16.6,False
E0280,CS,2026-02,160,10.4,False
E0282,CS,2026-02,160,14.2,False
E0288,CS,2026-02,160,15.3,False
E0298,CS,2026-02,160,16.7,False
E0015,개발,2026-02,160,16.4,False
E0027,개발,2026-02,160,15.8,False
E0029,개발,2026-02,160,12.8,False
E0036,개발,2026-02,160,13.3,False
E0040,개발,2026-02,160,13.4,False
E0042,개발,2026-02,160,18.1,False
E0050,개발,2026-02,160,12.4,False
E0059,개발,2026-02,160,18.0,False
E0060,개발,2026-02,160,13.6,False
E0066,개발,2026-02,160,14.6,False
E0067,개발,2026-02,160,13.9,False
E0069,개발,2026-02,160,14.0,False
E0084,개발,2026-02,160,12.3,False
E0093,개발,2026-02,160,17.7,False
E0106,개발,2026-02,160,12.6,False
E0118,개발,2026-02,160,16.8,False
E0121,개발,2026-02,160,11.3,False
E0130,개발,2026-02,160,13.8,False
E0133,개발,2026-02,160,17.9,False
E0142,개발,2026-02,160,17.6,False
E0146,개발,2026-02,160,16.9,False
E0150,개발,2026-02,160,15.2,False
E0155,개발,2026-02,160,13.0,False
E0156,개발,2026-02,160,15.2,False
E0162,개발,2026-02,160,12.0,False
E0167,개발,2026-02,160,12.9,False
E0172,개발,2026-02,160,17.8,False
E0173,개발,2026-02,160,14.3,False
E0188,개발,2026-02,160,14.7,False
E0203,개발,2026-02,160,14.9,False
E0215,개발,2026-02,160,16.0,False
E0221,개발,2026-02,160,17.9,False
E0226,개발,2026-02,160,10.0,False
E0228,개발,2026-02,160,13.6,False
E0253,개발,2026-02,160,17.2,False
E0258,개발,2026-02,160,9.4,False
E0261,개발,2026-02,160,17.7,False
E0268,개발,2026-02,160,9.3,False
E0274,개발,2026-02,160,13.1,False
E0279,개발,2026-02,160,18.4,False
E0295,개발,2026-02,160,17.9,False
E0296,개발,2026-02,160,16.6,False
E0010,생산,2026-02,160,20.7,False
E0023,생산,2026-02,160,15.3,False
E0024,생산,2026-02,160,16.5,False
E0025,생산,2026-02,160,12.0,False
E0032,생산,2026-02,160,16.9,False
E0033,생산,2026-02,160,14.2,False
E0038,생산,2026-02,160,18.3,False
E0041,생산,2026-02,160,13.1,False
E0047,생산,2026-02,160,15.2,False
E0049,생산,2026-02,160,13.8,False
E0056,생산,2026-02,160,14.6,False
E0058,생산,2026-02,160,15.4,False
E0064,생산,2026-02,160,15.3,False
E0068,생산,2026-02,160,18.0,False
E0081,생산,2026-02,160,14.1,False
E0087,생산,2026-02,160,14.7,False
E0088,생산,2026-02,160,11.7,False
E0095,생산,2026-02,160,14.3,False
E0115,생산,2026-02,160,13.5,False
E0120,생산,2026-02,160,18.5,False
E0132,생산,2026-02,160,16.8,False
E0148,생산,2026-02,160,14.4,False
E0151,생산,2026-02,160,17.1,False
E0163,생산,2026-02,160,17.5,False
E0165,생산,2026-02,160,12.4,False
E0198,생산,2026-02,160,14.8,False
E0212,생산,2026-02,160,17.3,False
E0231,생산,2026-02,160,13.4,False
E0245,생산,2026-02,160,16.7,False
E0248,생산,2026-02,160,15.1,False
E0285,생산,2026-02,160,16.5,False
E0292,생산,2026-02,160,10.6,False
E0293,생산,2026-02,160,18.0,False
E0294,생산,2026-02,160,13.2,False
E0002,영업,2026-02,160,12.3,False
E0006,영업,2026-02,160,15.8,False
E0007,영업,2026-02,160,15.9,False
E0009,영업,2026-02,160,17.3,False
E0011,영업,2026-02,160,17.4,False
E0018,영업,2026-02,160,16.8,False
E0020,영업,2026-02,160,20.1,False
E0031,영업,2026-02,160,14.1,False
E0048,영업,2026-02,160,15.6,False
E0052,영업,2026-02,160,14.7,False
E0076,영업,2026-02,160,18.0,False
E0078,영업,2026-02,160,18.1,False
E0098,영업,2026-02,160,20.3,False
E0104,영업,2026-02,160,21.2,False
E0107,영업,2026-02,160,14.7,False
E0116,영업,2026-02,160,17.9,False
E0125,영업,2026-02,160,18.4,False
E0138,영업,2026-02,160,13.7,False
E0139,영업,2026-02,160,17.0,False
E0143,영업,2026-02,160,14.9,False
E0168,영업,2026-02,160,21.6,False
E0175,영업,2026-02,160,17.4,False
E0176,영업,2026-02,160,13.5,False
E0177,영업,2026-02,160,17.7,False
E0178,영업,2026-02,160,19.1,False
E0184,영업,2026-02,160,19.3,False
E0185,영업,2026-02,160,17.7,False
E0195,영업,2026-02,160,12.4,False
E0196,영업,2026-02,160,18.2,False
E0199,영업,2026-02,160,19.8,False
E0202,영업,2026-02,160,18.6,False
E0205,영업,2026-02,160,16.2,False
E0207,영업,2026-02,160,16.2,False
E0223,영업,2026-02,160,16.4,False
E0227,영업,2026-02,160,14.5,False
E0236,영업,2026-02,160,17.5,False
E0249,영업,2026-02,160,21.2,False
E0252,영업,2026-02,160,21.8,False
E0256,영업,2026-02,160,17.6,False
E0263,영업,2026-02,160,17.6,False
E0265,영업,2026-02,160,16.2,False
E0271,영업,2026-02,160,16.0,False
E0284,영업,2026-02,160,18.1,False
E0290,영업,2026-02,160,20.4,False
E0291,영업,2026-02,160,16.6,False
E0299,영업,2026-02,160,19.3,False
E0001,인사,2026-02,160,14.8,False
E0012,인사,2026-02,160,15.7,False
E0013,인사,2026-02,160,12.4,False
E0037,인사,2026-02,160,15.3,False
E0043,인사,2026-02,160,11.3,False
E0053,인사,2026-02,160,17.2,False
E0061,인사,2026-02,160,14.1,False
E0086,인사,2026-02,160,18.6,False
E0090,인사,2026-02,160,12.9,False
E0097,인사,2026-02,160,11.7,False
E0100,인사,2026-02,160,12.1,False
E0102,인사,2026-02,160,10.3,False
E0109,인사,2026-02,160,14.2,False
E0113,인사,2026-02,160,9.9,False
E0117,인사,2026-02,160,13.0,False
E0119,인사,2026-02,160,14.2,False
E0127,인사,2026-02,160,11.9,False
E0136,인사,2026-02,160,14.2,False
E0145,인사,2026-02,160,15.9,False
E0149,인사,2026-02,160,11.9,False
E0152,인사,2026-02,160,11.5,False
E0159,인사,2026-02,160,11.3,False
E0179,인사,2026-02,160,13.9,False
E0189,인사,2026-02,160,14.2,False
E0192,인사,2026-02,160,15.2,False
E0204,인사,2026-02,160,13.9,False
E0209,인사,2026-02,160,16.0,False
E0220,인사,2026-02,160,13.2,False
E0229,인사,2026-02,160,16.7,False
E0235,인사,2026-02,160,15.3,False
E0240,인사,2026-02,160,15.5,False
E0243,인사,2026-02,160,13.2,False
E0244,인사,2026-02,160,11.2,False
E0247,인사,2026-02,160,16.3,False
E0259,인사,2026-02,160,15.2,False
E0269,인사,2026-02,160,12.2,False
E0270,인사,2026-02,160,13.7,False
E0283,인사,2026-02,160,14.9,False
E0287,인사,2026-02,160,16.5,False
E0297,인사,2026-02,160,16.7,False
E0004,재무,2026-02,160,15.0,False
E0005,재무,2026-02,160,15.2,False
E0016,재무,2026-02,160,12.2,False
E0019,재무,2026-02,160,17.1,False
E0021,재무,2026-02,160,14.4,False
E0028,재무,2026-02,160,19.2,False
E0030,재무,2026-02,160,16.9,False
E0034,재무,2026-02,160,17.0,False
E0044,재무,2026-02,160,11.9,False
E0045,재무,2026-02,160,19.4,False
E0054,재무,2026-02,160,16.1,False
E0055,재무,2026-02,160,16.8,False
E0057,재무,2026-02,160,13.7,False
E0065,재무,2026-02,160,15.4,False
E0070,재무,2026-02,160,15.8,False
E0072,재무,2026-02,160,17.4,False
E0074,재무,2026-02,160,19.5,False
E0075,재무,2026-02,160,19.1,False
E0077,재무,2026-02,160,17.3,False
E0079,재무,2026-02,160,15.8,False
E0080,재무,2026-02,160,14.5,False
E0083,재무,2026-02,160,18.3,False
E0085,재무,2026-02,160,19.3,False
E0089,재무,2026-02,160,19.3,False
E0092,재무,2026-02,160,19.4,False
E0108,재무,2026-02,160,19.4,False
E0123,재무,2026-02,160,17.3,False
E0126,재무,2026-02,160,16.3,False
E0128,재무,2026-02,160,16.6,False
E0135,재무,2026-02,160,16.0,False
E0137,재무,2026-02,160,66.9,True
E0147,재무,2026-02,160,15.8,False
E0153,재무,2026-02,160,19.2,False
E0154,재무,2026-02,160,17.6,False
E0157,재무,2026-02,160,17.4,False
E0158,재무,2026-02,160,19.0,False
E0164,재무,2026-02,160,17.0,False
E0169,재무,2026-02,160,14.4,False
E0174,재무,2026-02,160,16.9,False
E0180,재무,2026-02,160,12.1,False
E0181,재무,2026-02,160,16.8,False
E0191,재무,2026-02,160,17.9,False
E0194,재무,2026-02,160,20.0,False
E0197,재무,2026-02,160,17.2,False
E0216,재무,2026-02,160,19.2,False
E0217,재무,2026-02,160,16.9,False
E0218,재무,2026-02,160,14.3,False
E0225,재무,2026-02,160,13.3,False
E0230,재무,2026-02,160,14.4,False
E0233,재무,2026-02,160,13.4,False
E0234,재무,2026-02,160,18.5,False
E0237,재무,2026-02,160,16.3,False
E0241,재무,2026-02,160,18.3,False
E0257,재무,2026-02,160,17.0,False
E0264,재무,2026-02,160,19.5,False
E0266,재무,2026-02,160,19.5,False
E0273,재무,2026-02,160,15.2,False
E0275,재무,2026-02,160,16.2,False
E0276,재무,2026-02,160,15.5,False
E0277,재무,2026-02,160,12.8,False
E0281,재무,2026-02,160,18.6,False
E0286,재무,2026-02,160,19.9,False
E0008,CS,2026-03,160,13.8,False
E0014,CS,2026-03,160,12.8,False
E0022,CS,2026-03,160,16.0,False
E0026,CS,2026-03,160,8.9,False
E0062,CS,2026-03,160,14.2,False
E0071,CS,2026-03,160,14.1,False
E0073,CS,2026-03,160,12.6,False
E0082,CS,2026-03,160,16.7,False
E0096,CS,2026-03,160,15.8,False
E0099,CS,2026-03,160,13.2,False
E0103,CS,2026-03,160,13.6,False
E0110,CS,2026-03,160,13.0,False
E0112,CS,2026-03,160,12.7,False
E0124,CS,2026-03,160,11.1,False
E0131,CS,2026-03,160,16.6,False
E0134,CS,2026-03,160,15.9,False
E0141,CS,2026-03,160,15.4,False
E0161,CS,2026-03,160,11.5,False
E0170,CS,2026-03,160,18.1,False
E0171,CS,2026-03,160,17.9,False
E0183,CS,2026-03,160,14.2,False
E0186,CS,2026-03,160,11.9,False
E0193,CS,2026-03,160,12.0,False
E0201,CS,2026-03,160,14.6,False
E0206,CS,2026-03,160,11.9,False
E0208,CS,2026-03,160,13.7,False
E0213,CS,2026-03,160,16.0,False
E0214,CS,2026-03,160,10.7,False
E0219,CS,2026-03,160,17.9,False
E0222,CS,2026-03,160,17.0,False
E0224,CS,2026-03,160,11.2,False
E0232,CS,2026-03,160,10.9,False
E0242,CS,2026-03,160,13.2,False
E0246,CS,2026-03,160,11.7,False
E0250,CS,2026-03,160,13.2,False
E0254,CS,2026-03,160,8.4,False
E0260,CS,2026-03,160,13.3,False
E0262,CS,2026-03,160,17.5,False
E0267,CS,2026-03,160,11.5,False
E0272,CS,2026-03,160,13.2,False
E0278,CS,2026-03,160,10.7,False
E0280,CS,2026-03,160,15.1,False
E0282,CS,2026-03,160,13.3,False
E0288,CS,2026-03,160,17.8,False
E0298,CS,2026-03,160,14.2,False
E0015,개발,2026-03,160,13.4,False
E0027,개발,2026-03,160,15.4,False
E0029,개발,2026-03,160,13.1,False
E0036,개발,2026-03,160,11.3,False
E0040,개발,2026-03,160,14.8,False
E0042,개발,2026-03,160,13.8,False
E0050,개발,2026-03,160,14.6,False
E0059,개발,2026-03,160,15.0,False
E0060,개발,2026-03,160,13.1,False
E0066,개발,2026-03,160,15.1,False
E0067,개발,2026-03,160,17.9,False
E0069,개발,2026-03,160,11.8,False
E0084,개발,2026-03,160,17.9,False
E0093,개발,2026-03,160,13.7,False
E0106,개발,2026-03,160,12.6,False
E0118,개발,2026-03,160,19.4,False
E0121,개발,2026-03,160,14.5,False
E0130,개발,2026-03,160,17.1,False
E0133,개발,2026-03,160,15.9,False
E0142,개발,2026-03,160,10.6,False
E0146,개발,2026-03,160,14.5,False
E0150,개발,2026-03,160,13.1,False
E0155,개발,2026-03,160,11.3,False
E0156,개발,2026-03,160,10.4,False
E0162,개발,2026-03,160,14.4,False
E0167,개발,2026-03,160,15.5,False
E0172,개발,2026-03,160,15.0,False
E0173,개발,2026-03,160,13.5,False
E0188,개발,2026-03,160,12.5,False
E0203,개발,2026-03,160,12.1,False
E0215,개발,2026-03,160,13.0,False
E0221,개발,2026-03,160,12.0,False
E0226,개발,2026-03,160,13.8,False
E0228,개발,2026-03,160,14.2,False
E0253,개발,2026-03,160,12.3,False
E0258,개발,2026-03,160,13.7,False
E0261,개발,2026-03,160,12.6,False
E0268,개발,2026-03,160,14.2,False
E0274,개발,2026-03,160,15.3,False
E0279,개발,2026-03,160,14.6,False
E0295,개발,2026-03,160,15.2,False
E0296,개발,2026-03,160,10.7,False
E0010,생산,2026-03,160,14.5,False
E0023,생산,2026-03,160,16.0,False
E0024,생산,2026-03,160,16.9,False
E0025,생산,2026-03,160,11.7,False
E0032,생산,2026-03,160,15.8,False
E0033,생산,2026-03,160,18.2,False
E0038,생산,2026-03,160,15.0,False
E0041,생산,2026-03,160,15.2,False
E0047,생산,2026-03,160,16.4,False
E0049,생산,2026-03,160,16.0,False
E0056,생산,2026-03,160,16.9,False
E0058,생산,2026-03,160,15.6,False
E0064,생산,2026-03,160,15.7,False
E0068,생산,2026-03,160,13.6,False
E0081,생산,2026-03,160,15.0,False
E0087,생산,2026-03,160,18.3,False
E0088,생산,2026-03,160,14.9,False
E0095,생산,2026-03,160,15.0,False
E0115,생산,2026-03,160,14.3,False
E0120,생산,2026-03,160,17.2,False
E0132,생산,2026-03,160,13.4,False
E0148,생산,2026-03,160,17.5,False
E0151,생산,2026-03,160,13.2,False
E0163,생산,2026-03,160,12.9,False
E0165,생산,2026-03,160,15.9,False
E0198,생산,2026-03,160,15.7,False
E0212,생산,2026-03,160,16.1,False
E0231,생산,2026-03,160,17.8,False
E0245,생산,2026-03,160,14.4,False
E0248,생산,2026-03,160,16.4,False
E0285,생산,2026-03,160,13.3,False
E0292,생산,2026-03,160,18.3,False
E0293,생산,2026-03,160,16.9,False
E0294,생산,2026-03,160,16.6,False
E0002,영업,2026-03,160,17.9,False
E0006,영업,2026-03,160,15.4,False
E0007,영업,2026-03,160,16.5,False
E0009,영업,2026-03,160,18.7,False
E0011,영업,2026-03,160,17.4,False
E0018,영업,2026-03,160,17.7,False
E0020,영업,2026-03,160,13.9,False
E0031,영업,2026-03,160,17.9,False
E0048,영업,2026-03,160,15.6,False
E0052,영업,2026-03,160,14.6,False
E0076,영업,2026-03,160,17.0,False
E0078,영업,2026-03,160,12.6,False
E0098,영업,2026-03,160,19.2,False
E0104,영업,2026-03,160,19.6,False
E0107,영업,2026-03,160,17.3,False
E0116,영업,2026-03,160,14.8,False
E0125,영업,2026-03,160,14.9,False
E0138,영업,2026-03,160,17.0,False
E0139,영업,2026-03,160,11.1,False
E0143,영업,2026-03,160,17.9,False
E0168,영업,2026-03,160,19.1,False
E0175,영업,2026-03,160,16.6,False
E0176,영업,2026-03,160,16.1,False
E0177,영업,2026-03,160,17.9,False
E0178,영업,2026-03,160,18.3,False
E0184,영업,2026-03,160,20.3,False
E0185,영업,2026-03,160,17.5,False
E0195,영업,2026-03,160,15.6,False
E0196,영업,2026-03,160,16.2,False
E0199,영업,2026-03,160,17.9,False
E0202,영업,2026-03,160,21.5,False
E0205,영업,2026-03,160,16.6,False
E0207,영업,2026-03,160,14.7,False
E0223,영업,2026-03,160,15.1,False
E0227,영업,2026-03,160,11.9,False
E0236,영업,2026-03,160,18.3,False
E0249,영업,2026-03,160,13.8,False
